question,answer,intent
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
Help me know about: 32. Can an application for grant of legal services be made by a person on behalf of another based on a general power of attorney?,"Generally no. The application for legal aid has to be made in person generally and not through an authorized representative (except in cases of children or person with mental illness). The legal aid application has to be accompanied by the Affidavit sworn by the person seeking grant of legal aid (when a person is claiming free legal aid based on annual income criteria) and such an Affidavit cannot be made on behalf of some other person. However, in some cases, if the person seeking legal aid is incapacitated for some reason to apply in person for legal aid, his duly authorized representative/ person holding his General Power of Attorney may apply for legal aid.",general_legal_service
11. Are there any Helpline Services provided by NALSA for urgent legal assistance?,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.,general_legal_info
What is the procedure for: 50.	can legal services institutions assist in matters related to consumer rights and disputes??,Yes. One can approach the nearest Legal Services Institution for such cases through the standard procedure of applying for legal aid.,legal_rights
Legal guidance needed: 32. Can an application for grant of legal services be made by a person on behalf of another based on a general power of attorney?,"Generally no. The application for legal aid has to be made in person generally and not through an authorized representative (except in cases of children or person with mental illness). The legal aid application has to be accompanied by the Affidavit sworn by the person seeking grant of legal aid (when a person is claiming free legal aid based on annual income criteria) and such an Affidavit cannot be made on behalf of some other person. However, in some cases, if the person seeking legal aid is incapacitated for some reason to apply in person for legal aid, his duly authorized representative/ person holding his General Power of Attorney may apply for legal aid.",general_legal_service
What should I do for: 85.	what role does nalsa and other legal services institutions play in promoting legal aid awareness in schools and colleges??,"They organize programs in educational institutions to enhance legal awareness among students, ensuring a foundation of legal knowledge from an early age. It conducts awareness programs such as legal literacy workshops and seminars in schools and colleges. It engages students in interactive sessions using Acts and presentations. It also distributes informative brochures and pamphlets about child rights. Various legal service clinics are also established in schools and colleges.",legal_aid_info
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
38. Is a victim or a complainant who is aggrieved by an order of a court entitled to grant of free legal aid?,"Yes, if he meets the eligibility criteria of Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
"Can you help me with: 45.	What types of legal matters do the Legal Services Institutions under the Legal Services Authorities Act, assist with??","The Legal Services Institutions under the Legal Services Authorities Act, 1987 provide legal aid and assistance in civil as well as criminal cases. They also provide assistance in quasi- criminal or judicial cases. They also provide legal assistance and legal aid in cases before Tribunals and Forums.",general_legal_service
Can a woman get free legal aid?,"Yes, all women are entitled to free legal aid regardless of income.",legal_aid_for_women
What are the steps involved in 60.	when can legal aid be denied or withdrawn??,"Legal Aid can be denied at the initial stage before the application for legal aid is accepted. It can also be withdrawn at the later stage after the application has been accepted and legal aid has been provided. Legal aid can be denied or withdrawn in the following circumstances:Legal aid can be denied if a person is found ineligible under Section 12 of the Legal Services Authorities Act, 1987;Legal aid can be withdrawn if the aided person who applied under the income category is found to possess sufficient means;Legal aid can be withdrawn where the aided person obtained legal services by misrepresentation or fraud;Legal aid can be withdrawn where the aided person does not cooperate with the Legal Services Institution or with the Legal Services Advocate;Legal aid can be withdrawn where the person engages a legal practitioner other than the one assigned by the Legal Services Institution;Legal aid can be withdrawn in the event of death of the aided person except in the case of civil proceedings where the right or liability survives;Legal aid can be withdrawn where the application for legal service or the matter in question is found to be an abuse of the process of law or of legal services.Regulation 6 of the National Legal Services Authority (Free And Competent Legal Services) Regulations, 2010 provides that the applicant shall be informed that if free legal services have been obtained by furnishing incorrect or false information or in a fraudulent manner, the legal services shall be stopped forthwith and that the expenses incurred by the Legal Services Institutions shall be recoverable from him or her.",legal_aid_info
I want to understand 34. can a person who is aggrieved by an order of a high court or the supreme court get free legal aid to file an appeal/ curative petition etc.?,Yes. One can apply for legal aid for challenging orders passed by the High Courts as well as the Supreme Court.,legal_aid_info
Please explain: 79. How is an Award passed by Permanent Lok Adalat?,The Award made by Permanent Lok Adalat shall be by a majority  of the persons constituting the Permanent Lok Adalat.,lok_adalat_info
What are the steps involved in 7. what are legal services? what is included in free legal aid provided by the legal services institutions? what is the nature of free legal services??,"According to Section 2(c) of the Act, “legal services” includes any service in the conduct of any case or other legal proceeding before any court or other authority or tribunal and the giving of advice on any legal matter. It includes free legal services in civil and criminal matters for those poor and marginalized people who cannot afford the services of a lawyer for the conduct of a case or a legal proceeding in any Court, Tribunal or Authority. Provision of free legal aid may include:Representation by an Advocate in legal proceedings;Payment of process fees, expenses of witnesses and all other charges (charges such as court fees, stamp duty etc.) payable or incurred in connection with any legal proceedings in appropriate cases (provided that Court Fees will be payable only after an application moved before the concerned Court for suing as an indigent has been disposed of and orders of the Court obtained thereon);Preparation of pleadings, memo of appeal, paper book including printing and translation of documents in legal proceedings;Drafting of legal documents, special leave petition etc.;Supply of certified copies of judgments, orders, notes of evidence and other documents in legal proceedings.Free Legal Services also include provision of aid and advice to the beneficiaries to access the benefits under the welfare statutes and schemes framed by the Central Government or the State Government and to ensure access to justice in any other manner.",legal_aid_info
81.	What is the difference between a Regular Lok Adalat and a Permanent Lok Adalat for Public Utility Services?,"The main difference between these two Lok Adalats is when one of the parties to a dispute, pending before any Court and referred to the Regular Lok Adalat or a pre-litigation case, does not agree, the other party will be advised to pursue his remedies by approaching Civil Court/ Appropriate Forum, but in the Permanent Lok Adalat for Public Utility Services, even if one of the parties fail to reach an agreement during conciliation proceedings, it may decide the dispute on merits under Section 22-C (8) of the Legal Services Authorities Act, 1987 and such a decision shall be final and binding on all the parties thereto and on persons claiming under them under Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E(4)of the Act.",lok_adalat_info
What should I do for: 7. what are legal services? what is included in free legal aid provided by the legal services institutions? what is the nature of free legal services??,"According to Section 2(c) of the Act, “legal services” includes any service in the conduct of any case or other legal proceeding before any court or other authority or tribunal and the giving of advice on any legal matter. It includes free legal services in civil and criminal matters for those poor and marginalized people who cannot afford the services of a lawyer for the conduct of a case or a legal proceeding in any Court, Tribunal or Authority. Provision of free legal aid may include:Representation by an Advocate in legal proceedings;Payment of process fees, expenses of witnesses and all other charges (charges such as court fees, stamp duty etc.) payable or incurred in connection with any legal proceedings in appropriate cases (provided that Court Fees will be payable only after an application moved before the concerned Court for suing as an indigent has been disposed of and orders of the Court obtained thereon);Preparation of pleadings, memo of appeal, paper book including printing and translation of documents in legal proceedings;Drafting of legal documents, special leave petition etc.;Supply of certified copies of judgments, orders, notes of evidence and other documents in legal proceedings.Free Legal Services also include provision of aid and advice to the beneficiaries to access the benefits under the welfare statutes and schemes framed by the Central Government or the State Government and to ensure access to justice in any other manner.",legal_aid_info
What should I do for: 74.	is there any condition to affix court fee on the application to be filed before permanent lok adalat (public utility services) ??,"No, there is no requirement of affixing any Court Fee.",lok_adalat_info
Can you help me with: 2. What is the role and function of NALSA??,"As per Section 4 of the Legal Services Authorities Act, 1987, NALSA has been assigned to perform all or any of the following functions:Laying down policies and principles for making legal services available under the provisions of the Legal Services Authorities Act, 1987;Framing the most effective and economical schemes for the purpose of making legal services available under the provisions of the Legal Services Authorities Act, 1987;Utilizing the funds at its disposal and making appropriate allocations of funds to the State Authorities and District Authorities;Taking necessary steps by way of social justice litigation with regard to consumer protection, environmental protection, or any other matter of special concern to the weaker sections of the society and for this purpose, give training to social workers in legal skills;Organizing legal aid camps, especially in rural areas, slums, or labor colonies with the dual purpose of educating the weaker sections of the society as to their rights as well as encouraging the settlement of disputes through Lok Adalats;Encouraging the settlement of disputes by way of negotiation, arbitration, and conciliation;Undertaking and promoting research in the field of legal services with special reference to the need for such services among the poor;Doing all things necessary for the purpose of ensuring commitment to the Fundamental Duties of citizens under Part IVA of the Constitution;Monitoring and evaluating implementation of the legal aid programmes at periodic intervals and providing independent evaluation of programmes and schemes implemented in whole or in part by funds provided under this Act;Providing grants-in-aid for specific schemes to various voluntary social service institutions and the State and District Authorities, from out of the amounts placed at its disposal for the implementation of the legal services schemes under the provisions of this Legal Services Authorities Act, 1987;Developing, in consultation with the Bar Council of India, programmes for clinical legal education and promoting guidance and supervising the establishment and working of legal services clinics in universities, law colleges, and other institutions;Taking appropriate measures for spreading legal literacy and legal awareness amongst the people and, in particular, to educate weaker sections of the society about the rights, benefits, and privileges guaranteed by social welfare legislations and other enactments as well as administrative programmes and measures;Making special efforts to enlist the support of voluntary social welfare institutions working at the grassroots level, particularly among the Scheduled Castes and the Scheduled Tribes, women, and rural and urban labor; andCoordinating and monitoring the functioning of State Authorities, District Authorities, Supreme Court Legal Services Committee, High Court Legal Services Committees, Taluka Legal Services Committees and voluntary social service institutions and other legal services organizations and give general directions for the proper implementation of the legal services programs.As per Section 5 of the Legal Services Authorities Act, 1987, NALSA has also been entrusted with the duty to work in coordination with other agencies for the purposes of providing access to justice to the marginalized sections of the society.",general_legal_info
"Legal guidance needed: 31. If a person has an annual income which is more than the amount prescribed under the Legal Services Authorities Act/ extant rules in this regard in the different states, can he still get free legal aid if he falls within any other category of beneficiaries enlisted in Section 12 of the Legal Services Authorities Act?","Yes. If he falls within any other category mentioned in Section 12 of the Legal Services Authorities Act, 1987. For e.g. a man from the Scheduled Tribe, even if he is earning Rs. 10 lakhs per annum, is eligible for free legal aid.",legal_aid_info
What is the process for filing a charge sheet?,The police prepare a charge sheet after completing the investigation and submit it to the court.,filing_chargesheet
I want to understand 75.	can a party invoke jurisdiction of any other court or statutory forum/ tribunal after filing an application before permanent lok adalat (public utility services) in the same dispute?,"No. After an application is made to the Permanent Lok Adalat, no party to that application shall invoke jurisdiction of any other Court in the same dispute.",lok_adalat_info
27. Can persons called for questioning at the Police Station or persons arrested by the Police avail free legal aid?,"Yes, as per NALSA’s Early Access to Justice at Pre-Arrest, Arrest and Remand framework, persons called for questioning i.e. suspects and persons arrested by the police can also avail free legal aid.",legal_aid_info
"How do I go about 59.	how will a person get an intimation/information of the acceptance, success, failure, etc. of his application??","Once the application is scrutinized by the concerned authorities, the information of its success or failure is given to the applicant in the following ways:If the application was made physically at the front office of any Legal Services Institution, an address (either residential or email) for correspondence is usually noted and information regarding the application is sent to the same.If the application is made online via the LSMS Portal via the NALSA website, an application number is generated, and the appropriate Legal Services Institution is contacted. The applicant can track the status of the application on the online portal itself.If the application has been received from Government Departments / Centralized Public Grievance Redress and Monitoring System (CPGRAM), an email is sent to the applicant. The applicant can also get a scanned copy of the application on the CPGRAM website. Remarks regarding the application are also made on CPGRAM website and the website of the Legal Services Institution.",general_legal_info
Please explain: 69.	Whether Permanent Lok Adalats for Public Utility Services can dispose of criminal cases?,"Yes, Permanent Lok Adalats for Public Utility Services have jurisdiction in respect of matters relating to an offence, which are compoundable under any law.",lok_adalat_info
Help me know about: 78.	Whether the Award passed by the Permanent Lok Adalat (Public Utility Sevices) is final or appealable?,"Every award of the Permanent Lok Adalat made either on merit or in terms of a settlement agreement, shall be final and binding on all the parties thereto and on persons claiming under it as per Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E (4) of the Legal Services Authorities Act, 1987.",lok_adalat_info
What is the procedure for: 42.	who are panel lawyers??,Panel lawyers are lawyers who are empanelled with the Legal Services Institutions for a fixed tenure. They provide legal representation for the concerned Legal Services Institutions but are permitted to provide representation on private legal cases too.,general_legal_info
What are the steps involved in 34. can a person who is aggrieved by an order of a high court or the supreme court get free legal aid to file an appeal/ curative petition etc.??,Yes. One can apply for legal aid for challenging orders passed by the High Courts as well as the Supreme Court.,legal_aid_info
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
What should I do for: 62.	how can one know the case status? where can one find the next date of hearing ??,"One can request one’s legal aid lawyer to give update about the case status and the next date of hearing. Additionally, one may download the ‘e-courts’ app on mobile phone or visit their website here- https://services.ecourts.gov.in/ecourtindia_v6/ and enter the case details to find out all information related to the case.",general_legal_info
I want to understand 71.	whether a party in a pending case before a civil court/criminal court or a statutory forum may approach permanent lok adalats for adjudication of a case pertaining to a public utility services?,"No. A party to a dispute can only make an application to the Permanent Lok Adalats for Public Utility Services for settlement of dispute, before the dispute is brought before in any Court or Statutory Forum and not thereafter.",lok_adalat_info
67.	What is a Permanent Lok Adalat?,It is an inexpensive forum for amicable resolution of a dispute between an aggrieved person and a Public Utility Service provider.,lok_adalat_info
What are the steps involved in 51.	can legal services institutions assist in cases of wrongful incarceration or miscarriage of justice??,"Yes, Legal Services Institutions can offer legal aid to individuals facing wrongful incarceration, striving to rectify miscarriages of justice through proper legal representation. The concerned Legal Services Institution identify such persons who are wrongly incarcerated and then assist them to file appropriate applications before the concerned court or board.",general_legal_service
64. What is a Lok Adalat?,"Lok Adalat is a forum for alternative dispute resolution in India. It is a people’s court where disputes are settled amicably, without the need for lengthy court proceedings.",lok_adalat_info
What are the steps involved in 26. whether a person from other backward class (obc) is entitled to free legal aid like a person of the sc/ st community??,"No. He may only be entitled if he falls within the other categories mentioned in Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
Can you help me with: 1. What is the National Legal Services Authority (NALSA)? Where are its offices situated??,"The National Legal Services Authority (NALSA) is the central authority, constituted under the Legal Services Authorities Act, 1987, to provide free and competent legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities, and to organize Lok Adalats for amicable and faster settlement of disputes. It coordinates and monitors the functioning of the Legal Services Institutions constituted across India for proper implementation of legal aid programmes. It was formed on 9th November 1995 and is headed by the Chief Justice of India as the Patron-in-Chief. The NALSA Office is located in the Additional Building Complex of the Supreme Court of India, Tilak Marg, New Delhi (110001). The NALSA Centre for Citizen Services is set up at Jaisalmer House, Man Singh Road, New Delhi-110011. One can approach any of the NALSA Offices during office hours on all working days.",general_legal_service
Can you help me with: 47.	Can Legal Services Institutions under the Act provide assistance in accessing justice for victims of sexual harassment or assault??,"Yes. Legal Services Institutions are duty bound to provide legal aid to such categories of persons as well as per Section 12(c) of the Legal Services Authorities Act, 1987. Section 40 of the Protection of Children from Sexual Offences Act, 2012 also provides for the same. NALSA has also come up with a Scheme titled “Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes – 2018”, which has been used as a template by other States to formulate a Scheme for victim compensation. Victims of sexual crimes are paid compensation in terms of the prevailing schemes for victim compensation and the SLSAs are the disbursement authority for the compensation.",general_legal_service
Legal guidance needed: 54.	Will the information given by a legal aid applicant be safe and privileged with the Legal Services Institutions?,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential.",legal_aid_info
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
Legal guidance needed: 85.	What role does NALSA and other Legal Services Institutions play in promoting legal aid awareness in schools and colleges?,"They organize programs in educational institutions to enhance legal awareness among students, ensuring a foundation of legal knowledge from an early age. It conducts awareness programs such as legal literacy workshops and seminars in schools and colleges. It engages students in interactive sessions using Acts and presentations. It also distributes informative brochures and pamphlets about child rights. Various legal service clinics are also established in schools and colleges.",legal_aid_info
What are the steps involved in 30.what is the income parameter for grant of legal aid to a person??,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit.",legal_aid_info
How do I go about 49.	do legal services help with legal issues related to land and property disputes??,"NALSA helps individuals access legal aid through different Legal Services Institution such as SLSAs/DLSAs, if they meet the eligibility criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987. It encourages individuals to resolve their land and property related disputes through Alternative Dispute Resolution mechanisms (Lok Adalat and Mediation).",general_legal_service
Help me know about: 81.	What is the difference between a Regular Lok Adalat and a Permanent Lok Adalat for Public Utility Services?,"The main difference between these two Lok Adalats is when one of the parties to a dispute, pending before any Court and referred to the Regular Lok Adalat or a pre-litigation case, does not agree, the other party will be advised to pursue his remedies by approaching Civil Court/ Appropriate Forum, but in the Permanent Lok Adalat for Public Utility Services, even if one of the parties fail to reach an agreement during conciliation proceedings, it may decide the dispute on merits under Section 22-C (8) of the Legal Services Authorities Act, 1987 and such a decision shall be final and binding on all the parties thereto and on persons claiming under them under Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E(4)of the Act.",lok_adalat_info
How do I go about 48.	how can legal services institutions assist victims of domestic violence??,"A victim of domestic violence can file an application for free legal aid in her nearest Legal Services Institution. She can also seek compensation under the NALSA’s Compensation Scheme for Women Victims/Survivors of Sexual Assault/Other Crimes – 2018. The concerned Legal Services Institution can assist such a woman in filing court cases. Such a woman can also be provided counselling services. Further, the Legal Services Institution can also collaborate with various NGOs, Women Cells etc. which can then provide specialised assistance in such cases.",general_legal_service
Can you help me with: 81.	What is the difference between a Regular Lok Adalat and a Permanent Lok Adalat for Public Utility Services??,"The main difference between these two Lok Adalats is when one of the parties to a dispute, pending before any Court and referred to the Regular Lok Adalat or a pre-litigation case, does not agree, the other party will be advised to pursue his remedies by approaching Civil Court/ Appropriate Forum, but in the Permanent Lok Adalat for Public Utility Services, even if one of the parties fail to reach an agreement during conciliation proceedings, it may decide the dispute on merits under Section 22-C (8) of the Legal Services Authorities Act, 1987 and such a decision shall be final and binding on all the parties thereto and on persons claiming under them under Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E(4)of the Act.",lok_adalat_info
Please explain: 51.	Can Legal Services Institutions assist in cases of wrongful incarceration or miscarriage of justice?,"Yes, Legal Services Institutions can offer legal aid to individuals facing wrongful incarceration, striving to rectify miscarriages of justice through proper legal representation. The concerned Legal Services Institution identify such persons who are wrongly incarcerated and then assist them to file appropriate applications before the concerned court or board.",general_legal_service
How do I go about 75.	can a party invoke jurisdiction of any other court or statutory forum/ tribunal after filing an application before permanent lok adalat (public utility services) in the same dispute??,"No. After an application is made to the Permanent Lok Adalat, no party to that application shall invoke jurisdiction of any other Court in the same dispute.",lok_adalat_info
Can you help me with: 61.	Whom can one approach if he wants to make a complaint against the conduct an officer/ official of a Legal Services Institution??,"A complaint can be made regarding the conduct of a Legal Services Institution to the higher authority in the following hierarchical order:To the Ld. Member Secretary, National Legal Services Authority if complaint is against a State Legal Services Authority;To the Ld. Member Secretary, State Legal Services Authority if it is against a District Legal Services Authority/ Taluka Legal Services Committee;To the Ld. Member Secretary, State Legal Services Authority if the complaint is against the High Court Legal Services Committee;To the Ld. Member Secretary, NALSA, if the complaint is against the Supreme Court Legal Services Committee.",general_legal_service
What should I do for: 51.	can legal services institutions assist in cases of wrongful incarceration or miscarriage of justice??,"Yes, Legal Services Institutions can offer legal aid to individuals facing wrongful incarceration, striving to rectify miscarriages of justice through proper legal representation. The concerned Legal Services Institution identify such persons who are wrongly incarcerated and then assist them to file appropriate applications before the concerned court or board.",general_legal_service
What are the steps involved in 57.	what is the procedure after an application for legal aid is allowed??,"Once the application is allowed, the applicant is given intimation about the assignment of a lawyer. A letter of appointment is also issued to the assigned lawyer with a copy to the applicant. The lawyer would thereafter contact the applicant at the earliest. The applicant may also contact the lawyer in the meanwhile.",legal_aid_info
"How do I go about 45.	what types of legal matters do the legal services institutions under the legal services authorities act, assist with??","The Legal Services Institutions under the Legal Services Authorities Act, 1987 provide legal aid and assistance in civil as well as criminal cases. They also provide assistance in quasi- criminal or judicial cases. They also provide legal assistance and legal aid in cases before Tribunals and Forums.",general_legal_service
Please explain: 85.	What role does NALSA and other Legal Services Institutions play in promoting legal aid awareness in schools and colleges?,"They organize programs in educational institutions to enhance legal awareness among students, ensuring a foundation of legal knowledge from an early age. It conducts awareness programs such as legal literacy workshops and seminars in schools and colleges. It engages students in interactive sessions using Acts and presentations. It also distributes informative brochures and pamphlets about child rights. Various legal service clinics are also established in schools and colleges.",legal_aid_info
"What should I do for: 25. is a person who is in custody, including custody in a protective home or in a psychiatric hospital or psychiatric nursing home eligible for free legal aid??","Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
57.	What is the procedure after an application for legal aid is allowed?,"Once the application is allowed, the applicant is given intimation about the assignment of a lawyer. A letter of appointment is also issued to the assigned lawyer with a copy to the applicant. The lawyer would thereafter contact the applicant at the earliest. The applicant may also contact the lawyer in the meanwhile.",legal_aid_info
What should I do for: 77.	what procedure is adopted by the permanent lok adalat (public utility services) while conducting conciliation proceedings or deciding a dispute on merit.?,"Permanent Lok Adalat shall be guided by the principles of natural justice, objectivity, fair play, equity and other principles of justice as per Section 22-D of the Legal Services Authorities Act, 1987.",lok_adalat_info
22. Is a person with mental illness eligible for grant of free legal aid?,"Yes. Section 12 (d) of the Legal Services Authorities Act, 1987, provides for the same.",legal_aid_info
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
What should I do for: 28. can persons avail of legal aid services at the time of production and remand hearings in magistrate courts??,"Yes, persons can avail of free legal aid services at the time of production and remand hearing in Magistrate Courts including the courts of Executive Magistrates.",legal_aid_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What should I do for: 33. can a person apply for free legal aid in a case in which he was earlier being represented by another private counsel??,"Yes. One may still apply for free legal aid. However, before assignment of a legal aid counsel, the person may have to furnish a No Objection Certificate from the earlier counsel or copy of judicial order discharging the private counsel (where applicable).",legal_aid_info
What are the steps involved in 11. are there any helpline services provided by nalsa for urgent legal assistance??,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.,general_legal_info
60.	When can legal aid be denied or withdrawn?,"Legal Aid can be denied at the initial stage before the application for legal aid is accepted. It can also be withdrawn at the later stage after the application has been accepted and legal aid has been provided. Legal aid can be denied or withdrawn in the following circumstances:Legal aid can be denied if a person is found ineligible under Section 12 of the Legal Services Authorities Act, 1987;Legal aid can be withdrawn if the aided person who applied under the income category is found to possess sufficient means;Legal aid can be withdrawn where the aided person obtained legal services by misrepresentation or fraud;Legal aid can be withdrawn where the aided person does not cooperate with the Legal Services Institution or with the Legal Services Advocate;Legal aid can be withdrawn where the person engages a legal practitioner other than the one assigned by the Legal Services Institution;Legal aid can be withdrawn in the event of death of the aided person except in the case of civil proceedings where the right or liability survives;Legal aid can be withdrawn where the application for legal service or the matter in question is found to be an abuse of the process of law or of legal services.Regulation 6 of the National Legal Services Authority (Free And Competent Legal Services) Regulations, 2010 provides that the applicant shall be informed that if free legal services have been obtained by furnishing incorrect or false information or in a fraudulent manner, the legal services shall be stopped forthwith and that the expenses incurred by the Legal Services Institutions shall be recoverable from him or her.",legal_aid_info
How do I go about 6. what is the supreme court legal services committee? what is its role and responsibility??,"The Supreme Court Legal Services Committee (SCLSC) is constituted under Section 3A of the Legal Services Authorities Act, 1987, to provide free and competent legal services to those who fall within the purview of Section 12 of the Legal Services Authorities Act, 1987, in cases that fall under the jurisdiction of the Supreme Court of India.",court_procedure
13. Can one choose a lawyer of his choice while availing free legal aid?,"It is possible to avail the services of a lawyer of one’s choice from the Panel of lawyers empanelled with the Legal Services Institution concerned. According to Regulation 7(6) of the National Legal Services Authority (Free and Competent Legal Services) Regulations 2010, the application for legal services will be scrutinized by the Member-Secretary or the Secretary and if the applicant has mentioned/expressed his/her choice of a lawyer on the panel, such Member-Secretary or Secretary can consider and allow the same. However, it is not mandatory to permit the same.",legal_aid_info
I want to understand 42.	who are panel lawyers?,Panel lawyers are lawyers who are empanelled with the Legal Services Institutions for a fixed tenure. They provide legal representation for the concerned Legal Services Institutions but are permitted to provide representation on private legal cases too.,general_legal_info
How do I go about 3. what are the state legal services authorities? what are their roles and responsibilities??,"A State Legal Services Authority (SLSA) is constituted for every State/Union Territory under Section 6 of the Legal Services Authorities Act, 1987. The SLSA is headed by the Chief Justice of the High Court of the respective State, as its Patron-in-Chief. SLSAs give effect to the policy and directions of NALSA, and are assigned the following functions under Section 7 of the Legal Services Authorities Act, 1987:Give legal service to persons who satisfy the criteria laid down under Section 12 of the Legal Services Authorities Act, 1987;Conduct Lok Adalats, including Lok Adalats for High Court cases;Undertake preventive and strategic legal aid programmes; andPerform such other functions as the State Authority may, in consultation with NALSA, fix by Regulations.",general_legal_service
Can you help me with: 8. How is free legal aid different from legal advice and assistance??,"Legal aid is the provision of legal representation to a person in the District Courts, High Courts and Supreme Court or tribunals, by a lawyer assigned by the Legal Service Authority concerned.Legal Advice and Assistance is the provision of advice on general areas of law as governed by the laws of India by the lawyers employed with the Legal Services Institution concerned. For e.g. if a person has to file a case in court, he would be provided legal aid (in form of assignment of a Legal Services Advocate). However, if he only needs some help in drafting a legal notice to be sent prior to filing of a complaint under Section 138 of the Negotiable Instruments Act 1881, he would get legal consultation/ advice regarding the same. A person who does not come under the purview of Section 12 of Legal Services Authorities Act, 1987, to be eligible for free legal aid, can still avail legal advice and assistance from the Legal Services Institutions.",legal_aid_info
What is the procedure for: 34. can a person who is aggrieved by an order of a high court or the supreme court get free legal aid to file an appeal/ curative petition etc.??,Yes. One can apply for legal aid for challenging orders passed by the High Courts as well as the Supreme Court.,legal_aid_info
Please explain: 5. What are the High Court Legal Services Committees? What are their roles and responsibilities?,"Section 8A of the Legal Services Authorities Act, 1987, provides that the SLSA shall constitute a Committee to be called the High Court Legal Services Committee (HCLSC) for every High Court, for the purpose of exercising such powers and performing such functions as may be determined by Regulations made by the State Authority. It is headed by a sitting Judge of the concerned High Court, as the Chairman. HCLSCs have been established to provide free and competent legal services to weaker sections of the society who wish to file or defend a case in the concerned High Court of a State.",court_procedure
"What should I do for: 31. if a person has an annual income which is more than the amount prescribed under the legal services authorities act/ extant rules in this regard in the different states, can he still get free legal aid if he falls within any other category of beneficiaries enlisted in section 12 of the legal services authorities act??","Yes. If he falls within any other category mentioned in Section 12 of the Legal Services Authorities Act, 1987. For e.g. a man from the Scheduled Tribe, even if he is earning Rs. 10 lakhs per annum, is eligible for free legal aid.",legal_aid_info
I want to understand 33. can a person apply for free legal aid in a case in which he was earlier being represented by another private counsel?,"Yes. One may still apply for free legal aid. However, before assignment of a legal aid counsel, the person may have to furnish a No Objection Certificate from the earlier counsel or copy of judicial order discharging the private counsel (where applicable).",legal_aid_info
