section_number,section_title,description,example_use_cases,punishment
124A,"Sedition","This section defines and punishes the offence of Sedition. It involves bringing or attempting to bring into hatred or contempt, or exciting or attempting to excite disaffection towards, the Government established by law in India. This does not include strong criticism without incitement to violence or public disorder.","Making speeches or publishing content with the intention of creating public disorder and hatred against the government.","Imprisonment for life (with fine), or imprisonment up to 3 years (with fine), or fine"
125,"Waging war against any Asiatic Power in alliance with the Government of India","This section punishes waging war against the government of any Asian power that is in alliance or at peace with the Government of India. It protects international relations and peace.","An Indian citizen joining a rebel group to fight against the government of a friendly neighbouring country.","Imprisonment for life (with fine), or imprisonment up to 7 years (with fine), or fine"
126,"Committing depredation on territories of Power at peace with the Government of India","This section punishes committing depredation (plundering, raiding) on the territories of any power at peace with the Government of India. It is aimed at preventing unauthorized cross-border military actions.","A private militia from India conducting a raid across the border into a friendly country.","Imprisonment up to 7 years and fine (and forfeiture of property used)"
127,"Receiving property taken by war or depredation mentioned in sections 125 and 126","This section punishes receiving property that has been acquired through waging war or depredation as described in S.125 and S.126. It targets those who benefit from such illicit activities.","Knowingly buying looted goods that were taken during a raid on a friendly country.","Imprisonment up to 7 years and fine (and forfeiture of such property)"
128,"Public servant voluntarily allowing prisoner of state or war to escape","This section punishes a public servant who is charged with guarding any prisoner of state or of war and who voluntarily allows that prisoner to escape.","A jailor intentionally letting a convicted terrorist escape from custody.","Imprisonment for life, or imprisonment up to 10 years and fine"
129,"Public servant negligently suffering prisoner of state or war to escape","This section punishes a public servant who, due to negligence or neglect of duty, allows a prisoner of state or of war to escape.","A guard falling asleep on duty, allowing a high-profile prisoner to escape.","Simple imprisonment up to 3 years and fine"
130,"Aiding escape of, rescuing or harbouring such prisoner","This section punishes any person (not just a public servant) who aids the escape of, rescues, or harbours a prisoner of state or of war, knowing them to be such a prisoner.","Providing a getaway car to a escaping prisoner of war; hiding a escaped state prisoner in one's house.","Imprisonment for life, or imprisonment up to 10 years and fine"
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","This section punishes abetting the mutiny of any member of the Army, Navy, or Air Force, or attempting to seduce them from their allegiance or duty.","Inciting soldiers to refuse to follow orders; persuading an airman to desert his post.","Imprisonment for life, or imprisonment up to 10 years and fine"
132,"Abetment of mutiny, if mutiny is committed in consequence thereof","If mutiny is actually committed as a consequence of the abetment under S.131, the abettor is punished with death or life imprisonment, or imprisonment for up to 10 years with a fine.","A person whose instigation directly leads to a mutiny on a naval vessel.","Death, or Imprisonment for life, or imprisonment up to 10 years and fine"
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office","This section punishes abetting an assault by a member of the armed forces on their superior officer while that officer is executing their duties.","Encouraging a soldier to hit his commanding officer who is giving a lawful order.","Imprisonment up to 3 years and fine"
134,"Abetment of such assault, if the assault is committed","If the assault abetted under S.133 is actually committed, the punishment for the abettor is increased.","The abettor is punished more severely because the assault actually took place.","Imprisonment up to 7 years and fine"
135,"Harbouring deserter","This section punishes any person who knowingly harbours a deserter from the Army, Navy, or Air Force. It requires knowledge that the person is a deserter.","Hiding a soldier who has abandoned his unit, knowing that he is a deserter.","Imprisonment up to 2 years, or fine, or both"
136,"Harbouring deserter on board merchant vessel through negligence of master","This section holds the master of a merchant vessel liable if a deserter is harboured on board due to the master's negligence.","The captain of a ship fails to check the credentials of a crew member, who is later discovered to be a deserter.","Fine"
137,"Deserter concealed on board merchant vessel through negligence of master","This section is similar to S.136 but deals with the act of concealment itself due to the master's negligence.","A deserter is found hidden in the cargo hold of a ship, and the captain was negligent in conducting searches.","Fine"
138,"Abetment of act of insubordination by soldier, sailor or airman","This section punishes the abetment of any act of insubordination (willful defiance of authority) by a member of the armed forces, if the act is committed in consequence of the abetment.","Instigating a group of airmen to collectively refuse to obey a routine order.","Imprisonment up to 6 months, or fine, or both"
139,"Persons subject to certain Acts","[Repealed] This section has been omitted.","N/A","N/A"
140,"Wearing garb or carrying token used by soldier, sailor or airman","This section punishes a person who is not a soldier, sailor, or airman for wearing the uniform or carrying a token used by such forces with the intention that it may be believed that they are such a member. This is aimed at preventing impersonation.","A criminal wearing an army uniform to gain trust or commit a fraud.","Imprisonment up to 3 months, or fine up to Rs. 500, or both"
141,"Unlawful assembly","This section defines an 'unlawful assembly'. An assembly of five or more persons becomes unlawful if their common object is one of the following: 1) To overawe by criminal force the government or any official; 2) To resist the execution of any law; 3) To commit mischief, trespass or other offence; 4) To use criminal force to obtain possession of property or to enforce a right; 5) To use criminal force to compel a person to do what they are not legally bound to do.","A mob of 10 people gathering to illegally demolish a structure; a group blocking a road to protest a law by force.","N/A (Interpretive - Element of other offences)"
142,"Being member of unlawful assembly","This section states that whoever, being aware of facts which render any assembly an unlawful assembly, intentionally joins that assembly or continues in it, is a member of an unlawful assembly.","A person who joins a protest that has turned violent, knowing that the mob is now committing vandalism.","Punishment as per S.143"
143,"Punishment for unlawful assembly","This section provides the punishment for simply being a member of an unlawful assembly.","Any person who is a member of an assembly defined as unlawful under S.141 is punishable under this section.","Imprisonment up to 6 months, or fine, or both"
144,"Joining unlawful assembly armed with deadly weapon","This section provides for enhanced punishment if a member of an unlawful assembly is armed with any deadly weapon or with anything which used as a weapon of offence is likely to cause death.","A person joining a riot while carrying a sword, knife, iron rod, or pistol.","Imprisonment up to 2 years, or fine, or both"
145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse","This section provides for enhanced punishment if a person joins or continues in an unlawful assembly after it has been lawfully commanded to disperse.","A riot continues even after a Magistrate has read the proclamation under S.144 CrPC ordering the crowd to disperse.","Imprisonment up to 2 years, or fine, or both"
146,"Rioting","This section defines the offence of 'Rioting'. Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of that assembly, every member of that assembly is guilty of the offence of rioting.","An unlawful assembly (of 5+) begins to stone a building. Every single member of that assembly is guilty of rioting.","Punishment as per S.147"
147,"Punishment for rioting","This section provides the punishment for the offence of rioting.","Whoever is guilty of rioting, as defined in S.146, is punishable under this section.","Imprisonment up to 2 years, or fine, or both"
148,"Rioting, armed with deadly weapon","This section provides for enhanced punishment for rioting if the rioter is armed with a deadly weapon.","A person involved in a riot while carrying a firearm, a dagger, or a acid bottle.","Imprisonment up to 3 years, or fine, or both"
149,"Every member of unlawful assembly guilty of offence committed in prosecution of common object","This is a crucial section on vicarious liability. If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, every other member of the assembly is also guilty of that offence.","The common object of a mob is to assault a person. One member of the mob goes further and kills that person. Every member of the mob can be held guilty of murder if the killing was a likely consequence of their common object.","Punishment for the offence committed by any member"
150,"Hiring, engaging or employing persons to take part in an unlawful assembly","This section punishes a person who hires, engages, or employs persons to be part of an unlawful assembly. The person hiring is liable for any offence committed by the hired persons in prosecution of the common object.","A politician paying a group of people to form a mob and protest violently outside a competitor's office.","Punishment for the offence committed by the hired assembly"
151,"Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse","This section punishes knowingly being part of an assembly of five or more people likely to cause a disturbance of public peace, which has been lawfully commanded to disperse. Unlike S.145, the assembly here need not be initially 'unlawful' under S.141; it targets any disruptive gathering that disobeys dispersal orders.","A group of 10 people arguing loudly and blocking traffic is ordered by police to disperse. They refuse and continue. They are punishable under this section, even if their initial common object was not criminal.","Imprisonment up to 6 months, or fine, or both"
152,"Assaulting or obstructing public servant when suppressing riot, etc.","This section punishes assaulting or obstructing any public servant (or any person aiding them) in the execution of their duty of suppressing a riot or unlawful assembly. It protects authorities trying to restore order.","Throwing stones at police officers who are trying to break up a fight between two groups; pushing a firefighter attempting to extinguish a fire started by a mob.","Imprisonment up to 3 years, or fine, or both"
153,"Wantonly giving provocation with intent to cause riot—if rioting be committed—if not committed","This section punishes maliciously or wantonly doing anything with the intention of provoking a riot, even if the riot does not actually occur. If a riot is committed as a consequence, the punishment is higher.","Making inflammatory speeches targeting a religious community with the goal of inciting violence; spreading false rumors of an attack to provoke mob retaliation.","Imprisonment up to 1 year, or fine, or both (Up to 6 years if riot occurs)"
153A,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony","This section punishes acts that promote enmity, hatred, or ill-will between different religious, racial, language, or regional groups. It also punishes acts that are prejudicial to maintaining national harmony and integrity.","Publishing content that insults the religious beliefs of a community with intent to stir hatred; making speeches that call for violence against people from a particular state.","Imprisonment up to 3 years, or fine, or both (Up to 5 years if offence committed in place of worship)"
153B,"Imputations, assertions prejudicial to national-integration","This section punishes making imputations or assertions that any class of citizens cannot bear true faith to the Constitution of India or should be denied rights thereof, based on religion, race, language, etc., with intent to prejudice national integration.","Claiming that members of a particular religion are not loyal Indians and should not have voting rights.","Imprisonment up to 3 years, or fine, or both"
154,"Owner or occupier of land on which an unlawful assembly is held","This section holds the owner or occupier of any land liable if an unlawful assembly is held there and they, knowing it is happening, do not inform the authorities or use their lawful authority to disperse it.","A farm owner knows a group is assembling on his property to plan a violent attack but does nothing to stop or report it.","Fine up to Rs. 1000"
155,"Liability of person for whose benefit riot is committed","This section holds a person liable for the actions of a riotous assembly if the riot was committed for their benefit, and they (or their agent) did not use all reasonable means to prevent it.","A shopkeeper hires a group to intimidate a competitor. The group turns violent and riots. The shopkeeper is liable.","Fine"
156,"Liability of agent of owner or occupier for whose benefit riot is committed","This section holds the agent of a person (mentioned in S.155) liable if the riot was committed for the benefit of their principal and the agent did not use reasonable means to prevent it.","The manager of a factory, on behalf of the owner, instigates workers to riot for higher wages. The manager is liable.","Fine"
157,"Harbouring persons hired for an unlawful assembly","This section punishes harbouring, concealing, or receiving any person who has been hired to be part of an unlawful assembly, knowing that they have been so hired.","Providing food and shelter to hired goons who were part of a violent political rally, knowing they were paid to be there.","Imprisonment up to 6 months, or fine, or both"
158,"Being hired to take part in an unlawful assembly or riot","This section punishes the person who is themselves hired, engaged, or employed to be part of an unlawful assembly or to riot. It targets the hired participants.","A person accepts payment to join a mob and participate in vandalism.","Imprisonment up to 6 months, or fine, or both"
159,"Affray","This section defines the offence of 'Affray'. It is the fighting of two or more persons in a public place to the disturbance of the public peace. Unlike riot, it involves only a few people and does not require a common object.","Two people get into a fistfight on a busy street, causing a scene and disturbing others.","Punishment as per S.160"
160,"Punishment for committing affray","This section provides the punishment for the offence of affray.","Whoever commits an affray, as defined in S.159, is punishable under this section.","Imprisonment up to 1 month, or fine up to Rs. 100, or both"
161,"Public servant taking gratification other than legal remuneration in respect of an official act","[Repealed] This section was replaced by the more comprehensive Prevention of Corruption Act, 1987.","N/A","N/A"
162,"Taking gratification, in order, by corrupt or illegal means, to influence public servant","[Repealed] This section was replaced by the Prevention of Corruption Act, 1987.","N/A","N/A"
163,"Taking gratification, for exercise of personal influence with public servant","[Repealed] This section was replaced by the Prevention of Corruption Act, 1987.","N/A","N/A"
164,"Punishment for abetment by public servant of offences defined in section 162 or 163","[Repealed] This section was replaced by the Prevention of Corruption Act, 1987.","N/A","N/A"
165,"Public servant obtaining valuable thing, without consideration, from person concerned in proceeding or business transacted by such public servant","[Repealed] This section was replaced by the Prevention of Corruption Act, 1987.","N/A","N/A"
165A,"Punishment for abetment of offences defined in section 161 or section 165","[Repealed] This section was replaced by the Prevention of Corruption Act, 1987.","N/A","N/A"
166,"Public servant disobeying law, with intent to cause injury to any person","This section punishes a public servant who knowingly disobeys any direction of the law with the intention of causing injury or wrong to any person.","A police officer knowingly refusing to register an FIR to shield the accused; a magistrate deliberately ignoring procedure to deny bail.","Simple imprisonment up to 1 year, or fine, or both"
166A,"Public servant disobeying direction under law","This section specifically punishes a public servant for disobeying a legal direction to conduct an investigation or for disobeying any other legal direction. It was added to strengthen accountability.","A public servant willfully disobeys a court order; an investigating officer refuses to investigate a case of rape despite being directed to do so.","Imprisonment from 6 months to 2 years, and fine"
166B,"Punishment for non-treatment of victim","This section punishes a hospital or medical practitioner (public or private) for refusing to provide immediate medical treatment to a victim of an accident or a crime, which is required under law.","A private hospital turns away a gunshot victim because they demand an advance payment.","Imprisonment up to 1 year, or fine, or both"
167,"Public servant framing an incorrect document with intent to cause injury","This section punishes a public servant who prepares or frames an incorrect document (e.g., a report, certificate, record) with the intent to cause injury or loss to the public or to any person.","A revenue officer preparing a false land record to deprive the true owner of their property; a doctor issuing a false medical certificate.","Imprisonment up to 3 years, or fine, or both"
168,"Public servant unlawfully engaging in trade","This section punishes a public servant for unlawfully engaging in any trade or business. It is aimed at preventing conflicts of interest.","A government clerk running a private business that deals with his own department, violating service conduct rules.","Simple imprisonment up to 1 year, or fine, or both"
169,"Public servant unlawfully buying or bidding for property","This section punishes a public servant for unlawfully buying or bidding for any property which they are legally duty-bound to sell in their official capacity.","A court auctioneer responsible for selling confiscated property illegally bids for it himself.","Simple imprisonment up to 2 years, or fine, or both (and confiscation of property)"
170,"Personating a public servant","This section punishes a person who falsely represents themselves to be a public servant with the intention of cheating or harming others.","A person dresses as a police officer to extort money from shopkeepers; someone pretends to be a municipal inspector to enter a house.","Imprisonment up to 2 years, or fine, or both"
171,"Wearing garb or carrying token used by public servant with fraudulent intent","This section punishes a person for wearing any dress or carrying any token resembling that used by a public servant, with a fraudulent intention.","Wearing a fake police uniform to intimidate someone; carrying a forged government identity card.","Imprisonment up to 3 months, or fine up to Rs. 200, or both"
171A,"Definition of candidate – electoral right","This section defines key terms for electoral offences: 'candidate' means a person who has been nominated as a candidate at an election, and 'electoral right' means the right of a person to vote or to stand for election.","N/A","N/A (Interpretive)"
171B,"Bribery","This section defines the offence of 'Bribery'. It involves giving, offering, or attempting to give a gratification to someone to induce them to exercise their electoral right in a specific way. It also covers accepting such gratification.","Offering money to voters to vote for a particular candidate; accepting a television set in return for promising to vote for a party.","Punishment as per S.171E"
171C,"Undue influence at elections","This section defines 'Undue Influence' at elections. It involves any interference or attempt to interfere with the free exercise of any electoral right, including threats, injury, or inducements.","Threatening to evict a tenant if they don't vote for a certain candidate; a person surrounding a polling booth to intimidate voters.","Punishment as per S.171F"
171D,"Personation at elections","This section defines 'Personation' at elections. It involves applying for a voting paper or voting in the name of someone else, whether that person is living, dead, or fictitious.","A person votes using his deceased father's name; an individual votes multiple times using fake voter IDs.","Punishment as per S.171F"
171E,"Punishment for bribery","This section provides the punishment for the offence of bribery, as defined in S.171B.","Whoever commits bribery is punishable under this section.","Imprisonment up to 1 year, or fine, or both (If bribery by a candidate, fine may be unlimited)"
171F,"Punishment for undue influence or personation at an election","This section provides the punishment for the offences of undue influence (S.171C) and personation (S.171D) at elections.","Whoever commits undue influence or personation is punishable under this section.","Imprisonment up to 1 year, or fine, or both"
171G,"False statement in connection with an election","This section punishes making or publishing a false statement about the personal character or conduct of a candidate, or about their candidature, with the intention of affecting the outcome of an election.","Publishing a false news article claiming a candidate has been convicted of a crime to damage their reputation.","Fine"
171H,"Illegal payments in connection with elections","This section punishes incurring or authorizing election expenses that are not authorized by law, or for purposes not permitted by law.","A candidate spends money from undisclosed sources on campaign advertisements, violating election expense rules.","Fine up to Rs. 500"
171I,"Failure to keep election accounts","This section punishes a candidate (or their election agent) for failing to maintain and file a true and accurate account of their election expenses as required by law.","A winning candidate fails to submit their expense account to the Election Commission within the mandated time period.","Fine up to Rs. 500"
172,"Absconding to avoid service of summons or other proceeding","This section punishes absconding or concealing oneself to avoid being served a summons, notice, or order proceeding from a public servant.","A witness in a case hides from the process server to avoid receiving a summons to appear in court.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both"
173,"Preventing service of summons or other proceeding, or preventing publication thereof","This section punishes intentionally preventing the service of any summons, notice, or order, or preventing its lawful affixation or publication.","A person chases away a court official trying to paste a notice on their property; hiding a legal notice meant for a family member.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both"
174,"Not obeying a legal order to attend at a certain place in person or by agent, or departing without authority","This section punishes intentionally omitting to appear at a place when legally bound to appear there (in person or through an agent), or departing from that place without authority.","A person summoned to appear as a witness in court willfully does not show up; an accused person on bail leaves the court complex before the hearing is over.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both (Higher punishment if to avoid giving evidence/information)"
175,"Intentionally omitting to produce document to public servant by person legally bound to produce it","This section punishes a person who is legally bound to produce a document to a public servant but intentionally omits to do so.","A person refuses to show their driving license to a traffic police officer upon demand; willfully not producing account books to an income tax officer.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both (Higher punishment if document required for preventing harm)"
176,"Intentionally omitting to give notice or information to public servant by person legally bound to give it","This section punishes a person legally bound to give any notice or information to a public servant who intentionally omits to do so.","Failing to inform the police about a known planned crime; not notifying the birth of a child to the registrar as required by law.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both (Higher punishment if information required for preventing harm)"
177,"Furnishing false information","This section punishes a person who is legally bound to provide information to a public servant and instead provides information they know or believe to be false.","Giving a false name and address to a police officer; submitting forged documents to a government office to obtain a license.","Simple imprisonment up to 6 months, or fine up to Rs. 1000, or both (Higher punishment if related to offence against body/property)"
178,"Refusing oath when duly required by public servant to make it","This section punishes refusing to bind oneself by an oath or affirmation when legally required to do so by a public servant.","A witness in a deposition refuses to take an oath before giving their statement.","Simple imprisonment up to 6 months, or fine up to Rs. 1000, or both"
179,"Refusing to answer public servant authorized to question","This section punishes refusing to answer any question demanded by a public servant who is authorized to ask that question.","Refusing to answer questions during a lawful interrogation by a police officer; a witness in court refusing to answer a question posed by the judge.","Simple imprisonment up to 6 months, or fine up to Rs. 1000, or both"
180,"Refusing to sign statement","This section punishes refusing to sign any statement made to a public servant when legally required to do so.","A person gives a written statement to the police but then refuses to sign it for the record.","Simple imprisonment up to 3 months, or fine up to Rs. 500, or both"
181,"False statement on oath to public servant or person authorized to administer an oath","This section punishes making a false statement upon any subject when legally bound by an oath or affirmation to state the truth. This is the core offence of giving false evidence.","A witness in a trial lies under oath (perjury); making a false declaration in an affidavit submitted to a court.","Imprisonment up to 3 years, and fine"
182,"False information, with intent to cause public servant to use his lawful power to the injury of another person","This section punishes giving false information to a public servant, intending to cause that public servant to use their lawful power to injure or annoy another person.","Filing a false police complaint against an innocent person to have them arrested; giving false information to a tax officer to initiate a raid on a business rival.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
183,"Resistance to the taking of property by the lawful authority of a public servant","This section punishes offering resistance to the lawful seizure or attachment of any property by a public servant.","Physically preventing a bailiff from seizing property under a court order; hiding assets from an official conducting attachment.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
184,"Obstructing sale of property offered for sale by authority of public servant","This section punishes intentionally obstructing any sale of property being carried out by the lawful authority of a public servant.","Causing a disturbance at a public auction of confiscated goods to prevent bidding.","Imprisonment up to 1 month, or fine up to Rs. 500, or both"
185,"Illegal purchase or bid for property offered for sale by authority of public servant","This section punishes a person who is not legally entitled to do so from making a bid for or purchasing property offered for sale by the authority of a public servant.","A government employee involved in the auction process illegally bids in the auction himself.","Imprisonment up to 1 month, or fine up to Rs. 1000, or both"
186,"Obstructing public servant in discharge of public functions","This section punishes voluntarily obstructing any public servant in the discharge of their public functions.","Blocking a government vehicle from passing; refusing to allow a health inspector to enter a premises for inspection.","Imprisonment up to 3 months, or fine up to Rs. 500, or both"
187,"Omission to assist public servant when bound by law to give assistance","This section punishes intentionally omitting to assist a public servant who is legally demanding aid in the execution of their duty, when one is bound by law to render such assistance.","A person refuses to help a police officer arrest a dangerous criminal when called upon to do so.","Simple imprisonment up to 1 month, or fine up to Rs. 200, or both"
188,"Disobedience to order duly promulgated by public servant","This section punishes disobedience to any order lawfully made by a public servant, if such disobedience causes obstruction, annoyance, injury, or risk to others. This is a very commonly used section.","Violating a curfew order; disobeying a lawful order under Section 144 of the CrPC prohibiting an assembly.","Imprisonment up to 1 month, or fine up to Rs. 200, or both (If danger to human life/health/safety, up to 6 months)"
189,"Threat of injury to public servant","This section punishes holding out a threat of injury to a public servant to deter them from doing their official duty, or to make them do something they are not legally bound to do.","Threatening a judge to influence a court decision; threatening a municipal officer to approve a faulty building plan.","Imprisonment up to 2 years, or fine, or both"
190,"Threat of injury to induce person to refrain from applying for protection to public servant","This section punishes threatening someone to prevent them from seeking the protection of a public servant against an injury, or to compel them to withdraw such an application.","Threatening a victim not to go to the police to report an assault; threatening a complainant to withdraw their case from court.","Imprisonment up to 1 year, or fine, or both"
191,"Giving false evidence","This section defines the offence of 'giving false evidence'. A person is said to give false evidence if they are legally bound by an oath or law to state the truth and make a false statement.","Lying under oath in a court proceeding; making a false statement in a sworn affidavit.","Punishment as per S.193"
192,"Fabricating false evidence","This section defines 'fabricating false evidence'. It involves creating a situation or making a false entry in a record to cause a public servant to form an erroneous opinion on a point material to the outcome of a proceeding.","Planting fake evidence at a crime scene; tampering with a land record to mislead a court.","Punishment as per S.193"
193,"Punishment for false evidence","This section provides the punishment for giving false evidence (perjury) and fabricating false evidence. If committed in a judicial proceeding, the punishment is higher.","A witness lies in court during a murder trial; a person creates a fake alibi for an accused.","Imprisonment up to 7 years and fine (if judicial proceeding); up to 3 years and fine (in other cases)"
194,"Giving or fabricating false evidence with intent to procure conviction of capital offence","This section punishes giving or fabricating false evidence with the intention of causing an innocent person to be convicted of a capital offence (punishable with death).","Fabricating evidence to frame an innocent person for murder.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
195,"Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life","This section punishes giving or fabricating false evidence with the intention of causing an innocent person to be convicted of an offence punishable with imprisonment for life or imprisonment for 7 years or more.","Fabricating evidence to frame someone for rape or armed robbery.","Punishment as for the offence they tried to impute (e.g., up to life imprisonment)"
195A,"Threatening any person to give false evidence","This section punishes threatening another person to induce them to give false evidence or to fabricate false evidence, or to cause them to not produce evidence in a proceeding.","Threatening a witness to change their testimony; threatening an expert to not appear in court.","Imprisonment up to 7 years, or fine, or both"
196,"Using evidence known to be false","This section punishes corruptly using or attempting to use as true or genuine any evidence which one knows to be false or fabricated.","Knowingly presenting a forged document as evidence in court.","Punishment as for giving false evidence (S.193)"
197,"Issuing or signing false certificate","This section punishes issuing or signing a certificate required by law to be given or signed, knowing that it is false in a material point.","A doctor issuing a false medical fitness certificate; a teacher signing a false attendance record.","Punishment as for giving false evidence (S.193)"
198,"Using as true a certificate known to be false","This section punishes using as true a certificate known to be false.","Using a forged educational certificate to apply for a government job.","Punishment as for giving false evidence (S.193)"
199,"False statement made in declaration which is by law receivable as evidence","This section punishes making a false statement in any declaration which is by law receivable as evidence, knowing it to be false.","Making a false statement in a declaration before a notary public.","Punishment as for giving false evidence (S.193)"
200,"Using as true such declaration knowing it to be false","This section punishes using as true a declaration that is receivable as evidence, knowing it to be false.","Submitting a false notarized affidavit to a court.","Punishment as for giving false evidence (S.193)"
201,"Causing disappearance of evidence of offence, or giving false information to screen offender","This section punishes anyone who, knowing or having reason to believe an offence has been committed, causes evidence to disappear or gives false information to screen the offender from legal punishment. If the offence is capital (e.g., murder), punishment is severe.","Helping a murderer hide the murder weapon; providing a false alibi to a friend who committed theft; cleaning a crime scene to destroy fingerprints.","Imprisonment up to 7 years, and fine (if offence is capital); up to 3 years, and fine (if punishable with life imprisonment); up to 1/4th of the max imprisonment for that offence, and fine (for other offences)"
202,"Intentional omission to give information of offence by person bound to inform","This section punishes a person who is legally bound to inform a public servant about an offence but intentionally omits to do so, despite knowing or having reason to believe the offence has been committed.","A village headman (who is duty-bound) knows of a rape but does not report it to the police; a security guard fails to report a burglary he witnessed.","Imprisonment up to 6 months, or fine, or both (if offence is capital); up to 3 years, or fine, or both (if punishable with life imprisonment); up to 1/4th of the max imprisonment for that offence, or fine, or both (for other offences)"
203,"Giving false information respecting an offence committed","This section punishes a person who, knowing or believing an offence has been committed, provides false information about that offence to a public servant. It differs from S.201 as it doesn't require an intent to screen the offender.","A person lies to the police about the time a crime occurred, causing confusion, even if they don't know the offender.","Imprisonment up to 2 years, or fine, or both (if offence is capital); up to 1/4th of the max imprisonment for that offence, or fine, or both (for other offences)"
204,"Destruction of document to prevent its production as evidence","This section punishes secretly destroying, defaces, or removes any document or electronic record with the intention of preventing it from being produced as evidence in a legal proceeding, or by a public servant.","Burning a promissory note because you know you will be sued; deleting incriminating emails after receiving a court order to produce them.","Imprisonment up to 2 years, or fine, or both"
205,"False personation for purpose of act or proceeding in suit or prosecution","This section punishes falsely pretending to be another person in any suit or legal proceeding, with intent to gain a benefit for oneself or cause injury to that other person.","Pretending to be your brother in a court case to answer charges on his behalf; impersonating a plaintiff to withdraw a lawsuit.","Imprisonment up to 3 years, or fine, or both"
206,"Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution","This section punishes fraudulently removing, concealing, transferring, or delivering any property to prevent it from being taken as forfeiture to the government or under a court decree.","Hiding one's car to prevent it from being seized by bailiffs to satisfy a court judgment; transferring property to a relative to avoid confiscation by authorities.","Imprisonment up to 2 years, or fine, or both"
207,"Fraudulent claim to property to prevent its seizure as forfeited or in execution","This section punishes fraudulently accepting, claiming, or asserting a right to any property, knowing that such a claim is false, to prevent that property from being taken as forfeiture or under a court decree.","A friend falsely claims your seized property is theirs to help you get it back from the court.","Imprisonment up to 2 years, or fine, or both"
208,"Fraudulently suffering decree for sum not due","This section punishes a person who fraudulently causes or suffers a decree to be passed against them for a sum of money that is not due, or for a larger sum than is due, with intent to injure another person.","Allowing a friend to obtain a false court decree against you for Rs. 50,000, which you then use to illegally offset a genuine debt of Rs. 50,000 you owe to a third party.","Imprisonment up to 2 years, or fine, or both"
209,"Dishonestly making false claim in Court","This section punishes fraudulently or dishonestly making a false claim in a Court of Justice, or instituting a false suit, with intent to injure or annoy another person.","Filing a completely fabricated lawsuit against a business rival to cause them legal trouble and expense.","Imprisonment up to 2 years, and fine"
210,"Fraudulently obtaining decree for false claim","This section punishes a person who fraudulently obtains a decree or order for any false claim they have made in a Court of Justice.","Successfully winning a lawsuit based on forged documents and perjured witnesses.","Imprisonment up to 2 years, and fine"
211,"False charge of offence made with intent to injure","This section punishes making a false charge of an offence to a public servant, knowing the charge to be false, and with the intent to cause injury to another person. This is a serious offence against justice.","Filing a false FIR accusing an innocent person of theft or assault out of spite.","Imprisonment up to 2 years, or fine, or both (If offence is capital or punishable with 7+ years, imprisonment up to 7 years and fine)"
212,"Harbouring offender","This section punishes harbouring or concealing a person who has committed an offence, knowing or having reason to believe that the person has committed that offence, with the intention of screening them from legal punishment.","Hiding a fugitive in your attic; providing food and money to a person you know is wanted by the police.","Imprisonment up to 3 years, or fine, or both (If offence is capital, imprisonment up to 5 years and fine; if life imprisonment, imprisonment up to 3 years and fine)"
213,"Taking gift, etc., to screen an offender from punishment","This section punishes taking a gift or valuable consideration to screen an offender from legal punishment, or to not prosecute them, or to help them recover any property acquired through the offence.","Accepting a bribe from a thief's family to not testify against him in court.","Imprisonment up to 3 years, or fine, or both (If offence is capital, imprisonment up to 7 years and fine; if life imprisonment, imprisonment up to 3 years and fine)"
214,"Offering gift or restoration of property in consideration of screening offender","This section is the mirror of S.213. It punishes offering a gift or restoration of property to another person as a consideration for screening an offender.","A criminal's family offers money to a witness to change their testimony.","Punishment of the same nature and rigour as for the offence under S.213"
215,"Taking gift to help to recover movable property of which a person has been deprived by an offence, without causing apprehension of offender","This section punishes taking a gift to help recover stolen property, but without the intention of screening the offender from punishment. The focus is on recovery, not protecting the criminal.","A private detective takes money to find and return stolen jewellery, but does not inform the police about the thief's identity.","Imprisonment up to 2 years, or fine, or both"
216,"Harbouring offender who has escaped from custody or whose apprehension has been ordered","This section punishes harbouring or concealing an offender who has either escaped from custody or for whom a warrant of apprehension has been issued, knowing them to be such an escaped offender.","Hiding a prisoner who has broken out of jail; providing shelter to an accused person who has jumped bail.","Imprisonment up to 3 years, or fine, or both (If offence is capital or punishable with life imprisonment, imprisonment up to 7 years and fine)"
