type,title,content
legal_term,Interim Order,"A temporary order issued by a court during the pendency of a case, to maintain the status quo or prevent irreparable harm.. Example: A court issues an interim injunction to stop construction on a disputed plot until the final decision."
legal_term,Ex Parte Decree,"A decree passed in the absence of the defendant (the opposite party).. Example: If a defendant fails to appear in court despite notice, the court may pass an ex parte decree in favour of the plaintiff."
legal_term,Stay Order,A court order to temporarily suspend a judicial proceeding or the enforcement of another court order.. Example: A court grants a stay order on the demolition of a building until the main petition is decided.
legal_term,Fiduciary Relationship,"A relationship of trust and confidence where one party (the fiduciary) is obligated to act in the best interests of the other.. Example: The relationship between a doctor and patient, or a lawyer and client, is a fiduciary relationship."
legal_term,Good Faith,"Honest intention to act without deceit or fraud, even if a mistake is made.. Example: A person acting on a genuinely mistaken fact, but with honest intent, is said to be acting in good faith."
legal_term,Malafide,"Acting in bad faith, with intentional dishonesty or ulterior motive.. Example: A public official transferring an officer out of personal vendetta is acting malafide."
legal_term,Natural Justice,"Fundamental principles of fairness in legal procedure, including the right to be heard and rule against bias.. Example: A student must be given a chance to explain before being expelled from university; this is a principle of natural justice."
legal_term,Perjury,The offence of wilfully giving false evidence while under oath in a judicial proceeding.. Example: A witness lies in court about seeing an event; they can be prosecuted for perjury.
legal_term,Power of Attorney,A legal document authorizing one person to act on behalf of another in legal or financial matters.. Example: An elderly person gives a power of attorney to their son to manage their bank accounts and property.
legal_term,Prima Facie Case,"A case that appears sufficient to prove the allegations at first sight, based on the initial evidence.. Example: The prosecution establishes a prima facie case in a theft trial with CCTV footage of the accused at the scene."
legal_term,Summons Case,"A case relating to an offence that is not a warrant case (generally, less serious offences).. Example: Cases involving offences punishable with imprisonment of less than two years are usually summons cases under CrPC."
legal_term,Warrant Case,"A case relating to an offence punishable with death, imprisonment for life, or imprisonment exceeding two years.. Example: Cases for serious offences like murder, rape, and robbery are warrant cases under CrPC."
legal_term,Bona Fide,"Acting in good faith, with genuine and honest intention.. Example: A bona fide purchaser buys property without knowing about any prior legal claims on it."
legal_term,Mesne Profits,"Compensation paid for the wrongful possession of land or property, covering the profits the rightful owner lost.. Example: A person illegally occupying a house must pay mesne profits to the owner for the period of occupation."
legal_term,Specific Relief,"A remedy aimed at the fulfilment of a contract or enforcement of a duty, rather than merely compensating with money.. Example: A court orders specific relief by directing a builder to complete and deliver a flat as per the agreement."
legal_term,Trespass,"Wrongful interference with one's person, property, or rights.. Example: Entering someone's land without permission constitutes trespass to land."
legal_term,Nuissance,An unlawful interference with a person's use or enjoyment of their land or property.. Example: A factory creating constant noise and smoke that affects neighbouring residents is committing a nuisance.
legal_term,Defamation,The act of harming the reputation of another by making a false statement to a third party.. Example: Publishing a false news article claiming a businessman is involved in fraud is defamation.
legal_term,Contract,A legally binding agreement between two or more parties that is enforceable by law.. Example: Signing a lease agreement to rent an apartment creates a contract between tenant and landlord.
legal_term,Breach of Contract,The failure to perform any term of a contract without a valid legal excuse.. Example: A builder's failure to complete a project by the agreed date is a breach of contract.
legal_term,Consideration,"Something of value exchanged between parties to a contract; it is the price for which a promise is bought.. Example: In a sale, the money paid by the buyer is the consideration for the seller's promise to deliver the goods."
legal_term,Free Consent,"Agreement to a contract given without coercion, undue influence, fraud, misrepresentation, or mistake.. Example: A person signing a contract after being threatened has not given free consent, making the contract voidable."
legal_term,Act of God,"An event caused by natural forces beyond human control, for which no person can be held responsible.. Example: A landslide destroying a factory after unprecedented rainfall would be considered an act of God, absolving any party from liability."
legal_term,Ad Valorem,"A tax or duty calculated as a percentage of the value of goods or property.. Example: Stamp duty on property transactions is often ad valorem, calculated as a percentage of the property's sale value."
legal_term,Amicus Curiae,"A neutral advisor to the court who is not a party to the case but offers expertise or insight.. Example: In a complex environmental case, the court may appoint a scientist as amicus curiae to provide technical guidance."
legal_term,Ante Litem Motam,"Something done or made before a lawsuit is contemplated, often considered more reliable evidence.. Example: A doctor's medical report prepared immediately after treatment, before any legal action was considered, holds greater weight as ante litem motam evidence."
legal_term,Autrefois Acquit,"A plea that the accused has already been acquitted of the same offence, preventing double jeopardy.. Example: An accused cannot be tried again for murder after being acquitted by a competent court; they can plead autrefois acquit."
legal_term,Autrefois Convict,"A plea that the accused has already been convicted of the same offence, barring a second trial.. Example: If already convicted and punished for theft, an accused cannot be tried again for the same instance of theft."
legal_term,Benami Transaction,"A transaction where property is held by one person but paid for by another, typically to conceal true ownership.. Example: A government official buying property in their relative's name to hide illicit wealth is a benami transaction, illegal under the Benami Transactions Act."
legal_term,Cy-Près Doctrine,"A legal principle allowing a court to modify the terms of a trust or charity as closely as possible to the original intent when literal execution becomes impossible.. Example: If a charity for orphaned elephants can no longer function, courts may use cy-près to redirect funds to a general wildlife charity."
legal_term,De Hors,Outside the scope of or unrelated to the matter at hand.. Example: Evidence about a person's character may be considered de hors if presented in a contract dispute with no relevance to the case.
legal_term,Demurrer,"A plea that even if the facts presented by the opposite party are true, they do not constitute a valid cause of action.. Example: In a defamation case, the defendant may file a demurrer stating that the published words are not defamatory in law."
legal_term,Detinue,A wrongful withholding of someone's personal property after the owner has demanded its return.. Example: A borrower refusing to return a borrowed laptop after the agreed period commits detinue.
legal_term,Ejusdem Generis,"A rule of interpretation meaning 'of the same kind,' where general words following specific words are limited to the same category.. Example: A law prohibiting 'vehicles, cars, trucks, and other motorized conveyances' would not include bicycles under ejusdem generis."
legal_term,Force Majeure,"An unforeseeable circumstance that prevents someone from fulfilling a contract, often called an 'act of God' clause.. Example: A pandemic lockdown may be considered force majeure, excusing parties from contractual deadlines."
legal_term,Garnishee Order,A court order directing a third party who holds money for a debtor to pay it directly to the creditor.. Example: A court may issue a garnishee order to a bank to transfer funds from the debtor's account to the decree holder.
legal_term,Hearsay Evidence,"Evidence not based on the witness's direct knowledge but on what others have said, generally inadmissible.. Example: A witness testifying 'my friend told me he saw the accident' is giving hearsay evidence, which is usually not allowed."
legal_term,In Camera Proceedings,"Court hearings conducted in private, not open to the public, often to protect privacy or sensitive information.. Example: Trials in rape cases are often held in camera to protect the victim's identity and dignity."
legal_term,In Limine,A motion made at the start of a trial to decide on an evidentiary or procedural issue before the main proceedings.. Example: A party may move in limine to exclude certain prejudicial evidence from being presented to the jury.
legal_term,In Pari Delicto,"When both parties are equally at fault or in wrongdoing; a defense where the court may refuse to assist either party.. Example: If both parties knowingly entered an illegal contract, a court may refuse to enforce it, citing in pari delicto."
legal_term,Ipso Facto,By the fact itself; something that is automatically true as a direct consequence of an action or fact.. Example: A person convicted of a felony may ipso facto be disqualified from holding certain public offices.
legal_term,Lis Pendens,"A pending lawsuit; a legal notice that a property is involved in litigation, warning potential buyers.. Example: A lis pendens notice is registered on a property title during a ownership dispute, preventing its sale."
legal_term,Mandatory Injunction,A court order requiring a party to perform a specific act to rectify a wrong.. Example: A court may issue a mandatory injunction ordering a neighbor to demolish a wall built on someone else's land.
legal_term,Mandamus,"A writ issued by a higher court to a lower court, tribunal, or public authority, directing them to perform a public duty they are legally obligated to do.. Example: If a municipality fails to provide basic sanitation, a citizen can seek a writ of mandamus to compel action."
legal_term,Negotiorum Gestio,A quasi-contract where a person voluntarily manages the affairs of another without their request but must act in their best interest.. Example: A neighbor repairs the roof of a house whose owner is abroad to prevent damage; this is negotiorum gestio.
legal_term,Nemo Dat Quod Non Habet,"A legal principle meaning 'no one can give what they do not have'; a person cannot transfer better title than they themselves possess.. Example: A thief cannot sell stolen goods and pass good title to an innocent buyer, based on nemo dat quod non habet."
legal_term,Obiter Dictum,A remark or opinion by a judge that is not essential to the decision and does not establish binding precedent.. Example: A judge's comments on a hypothetical scenario not directly relevant to the case are obiter dicta.
legal_term,Pari Passu,"On equal footing; without preference or priority.. Example: In bankruptcy, unsecured creditors are often paid pari passu, meaning proportionally from the available assets."
legal_term,Quantum Meruit,A claim for reasonable payment for services rendered when no formal contract exists or the contract is void.. Example: A builder hired without a fixed price can sue on quantum meruit for the reasonable value of work done.
legal_term,Quasi-Judicial,The power of an administrative body to make rulings and decisions that resemble those of a court.. Example: The Consumer Forum exercises quasi-judicial powers when it hears complaints and awards compensation.
legal_term,Qui Facit Per Alium Facit Per Se,A legal maxim meaning 'he who acts through another acts himself'; the principle of vicarious liability.. Example: An employer is responsible for the actions of their employees performed within the scope of employment.
legal_term,Res Integra,"A point of law without precedent or previous judicial decision; a new question for the court.. Example: A case involving liability for damage caused by a drone may be res integra, as there is no existing law on it."
legal_term,Res Nullius,Something that belongs to no one; ownerless property that can be acquired by the first person who takes possession.. Example: Wild animals are generally considered res nullius and can be appropriated by capture.
legal_term,Sub Judice,"A matter that is currently under consideration or pending in a court, prohibiting public discussion to avoid prejudice.. Example: The media should avoid detailed reporting on a sub judice case to not influence the proceedings."
legal_term,Subpoena,A court order requiring a person to appear in court to testify as a witness.. Example: A doctor may be served a subpoena to appear in court and present their medical findings in a personal injury case.
legal_term,Subrogation,The right of an insurer who has paid a claim to take over the insured's rights to recover the loss from a third party.. Example: An insurance company that pays for car repairs after an accident can sue the at-fault driver through subrogation.
legal_term,Suo Motu,"When a court takes action on its own motion, without a formal request from a party.. Example: The Supreme Court took suo motu cognizance of the migrant crisis during the lockdown to address the situation."
legal_term,Tortfeasor,"A person who commits a tort, a civil wrong that causes harm or loss to another.. Example: A driver who causes an accident by running a red light is a tortfeasor and liable for negligence."
legal_term,Ultra Vires,An act beyond the legal power or authority of a person or institution.. Example: A municipal corporation passing a tax law beyond the powers granted to it by statute acts ultra vires.
legal_term,Volenti Non Fit Injuria,"A defense meaning 'to a willing person, no injury is done'; one cannot claim for harm they voluntarily consented to.. Example: A boxer injured in a match may not sue for battery, as they consented to the risk by participating."
legal_term,Writ,"A formal written order issued by a court commanding the performance of a specific act.. Example: The five major writs for enforcing fundamental rights are Habeas Corpus, Mandamus, Prohibition, Certiorari, and Quo Warranto."
legal_term,Ab Initio,From the beginning; something that is void ab initio is treated as invalid from the outset.. Example: A contract signed under coercion is void ab initio and has no legal effect from the start.
legal_term,Amicus Curiae,See above. Example: nan
legal_term,Bona Vacantia,"Ownerless goods or property that, by law, revert to the government.. Example: The assets of a dissolved company with no heirs may be claimed by the government as bona vacantia."
legal_term,Corpus Delicti,"The body of facts that prove a crime has been committed, often literally the body in a murder case.. Example: In a murder trial, the prosecution must establish the corpus delicti, i.e., that a person died and that death was caused by a criminal act."
legal_term,De Novo,"Anew; a trial de novo is a completely new trial, as if the first one never happened.. Example: An appellate court may order a trial de novo in a lower court if there was a major procedural error."
legal_term,Estoppel,See above. Example: nan
legal_term,Ex Gratia,"A payment made as a favor, without admission of any legal liability or obligation.. Example: A company may make an ex gratia payment to the family of a deceased employee, even if not legally required to do so."
legal_term,Funus Officii,"The completion or termination of an official's duties, often upon death or resignation.. Example: The funus officii of a public servant occurs upon their retirement, ending their official authority."
legal_term,In Situ,In its original place; left undisturbed.. Example: Archaeological artifacts are sometimes studied and preserved in situ rather than being moved to a museum.
legal_term,Jus Tertii,"A right of a third party; a defense where a defendant claims that the property belongs to someone else, not the plaintiff.. Example: A tenant in a possession suit may raise a jus tertii defense, claiming the true owner is a third party, not the landlord bringing the suit."
legal_term,Locus Standi,"The right to bring a legal action or to be heard in court, based on a sufficient connection to the issue.. Example: A citizen must demonstrate locus standi, or sufficient interest, to file a Public Interest Litigation (PIL)."
legal_term,Modus Operandi,"A particular method of operation, especially characteristic of a criminal.. Example: The police linked the robberies to the same suspect based on a distinctive modus operandi, like disabling alarms in a specific way."
legal_term,Noscitur a Sociis,"A rule of interpretation meaning 'it is known by its associates'; a word is understood by the words surrounding it.. Example: In a list 'dogs, cats, and other animals,' the phrase 'other animals' would be interpreted in the context of domestic pets (noscitur a sociis)."
legal_term,Onus Probandi,"The burden of proof.. Example: In a criminal case, the onus probandi lies on the prosecution to prove guilt beyond a reasonable doubt."
legal_term,Per Incuriam,"A judgment passed 'through lack of care,' ignoring a relevant statute or binding precedent, making it not authoritative.. Example: A High Court judgment that overlooks a Supreme Court ruling on the same point is per incuriam and not binding."
legal_term,Pro Bono,"Legal work undertaken voluntarily and without payment, for the public good.. Example: A lawyer may represent an indigent client pro bono publico, meaning for the public good without a fee."
legal_term,Pro Tanto,To that extent; partially.. Example: A payment made pro tanto reduces the debt or claim to that extent but does not fully settle it.
legal_term,Quantum,"The amount or extent of something, especially the amount of damages to be awarded.. Example: The court must determine the quantum of compensation required to adequately cover the victim's medical expenses and lost income."
legal_term,Ratio Decidendi,"The essential legal principle or reasoning behind a court's decision, which forms a binding precedent.. Example: The ratio decidendi of a landmark case is the core rule that lower courts must follow in similar future cases."
legal_term,Sine Die,"Indefinitely; adjournment of a court case without setting a future date.. Example: The hearing was adjourned sine die due to the absence of a key witness, with no new date announced."
legal_term,Stare Decisis,"The legal principle of following precedents set by previous court decisions.. Example: Under stare decisis, a lower court is bound to follow the legal principles established by higher courts in prior cases."
legal_term,Sub Silentio,"Something passed over in silence; a point of law that was not explicitly considered or ruled upon in a decision.. Example: A previous case might have been decided sub silentio on a key issue, meaning that issue wasn't addressed and thus doesn't set a precedent."
legal_term,Suo Motu,See above. Example: nan
legal_term,Uberrimae Fidei,"Of the utmost good faith; contracts requiring full disclosure of all material facts by the parties.. Example: An insurance contract is uberrimae fidei, so the applicant must disclose all relevant health information truthfully."
legal_term,Voir Dire,"A preliminary examination of a witness or juror to determine their competence or suitability.. Example: During voir dire, lawyers question potential jurors to check for any biases that might affect the trial."
faq,Can a woman get free legal aid?,"Yes, all women are entitled to free legal aid regardless of income."
faq,Can you help me with: 32. Can an application for grant of legal services be made by a person on behalf of another based on a general power of attorney??,"Generally no. The application for legal aid has to be made in person generally and not through an authorized representative (except in cases of children or person with mental illness). The legal aid application has to be accompanied by the Affidavit sworn by the person seeking grant of legal aid (when a person is claiming free legal aid based on annual income criteria) and such an Affidavit cannot be made on behalf of some other person. However, in some cases, if the person seeking legal aid is incapacitated for some reason to apply in person for legal aid, his duly authorized representative/ person holding his General Power of Attorney may apply for legal aid."
faq,8. How is free legal aid different from legal advice and assistance?,"Legal aid is the provision of legal representation to a person in the District Courts, High Courts and Supreme Court or tribunals, by a lawyer assigned by the Legal Service Authority concerned.Legal Advice and Assistance is the provision of advice on general areas of law as governed by the laws of India by the lawyers employed with the Legal Services Institution concerned. For e.g. if a person has to file a case in court, he would be provided legal aid (in form of assignment of a Legal Services Advocate). However, if he only needs some help in drafting a legal notice to be sent prior to filing of a complaint under Section 138 of the Negotiable Instruments Act 1881, he would get legal consultation/ advice regarding the same. A person who does not come under the purview of Section 12 of Legal Services Authorities Act, 1987, to be eligible for free legal aid, can still avail legal advice and assistance from the Legal Services Institutions."
faq,Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act."
faq,What is the process for filing a charge sheet?,The police prepare a charge sheet after completing the investigation and submit it to the court.
faq,What are the steps involved in 72.	how can one file an application before the permanent lok adalats for public utility services??,"An application can be filed before the Permanent Lok Adalats for Public Utility Services on a plain paper depicting the true and correct facts and the details of the person/Authority/public utility services provider against whom relief is claimed, on any working day. Such an application should however, be accompanied by supporting documents and copies to be furnished to the opposite party."
faq,"Help me know about: 31. If a person has an annual income which is more than the amount prescribed under the Legal Services Authorities Act/ extant rules in this regard in the different states, can he still get free legal aid if he falls within any other category of beneficiaries enlisted in Section 12 of the Legal Services Authorities Act?","Yes. If he falls within any other category mentioned in Section 12 of the Legal Services Authorities Act, 1987. For e.g. a man from the Scheduled Tribe, even if he is earning Rs. 10 lakhs per annum, is eligible for free legal aid."
faq,What is the procedure for: 67.	what is a permanent lok adalat??,It is an inexpensive forum for amicable resolution of a dispute between an aggrieved person and a Public Utility Service provider.
faq,Please explain: 18. Till what age is a child eligible for free legal aid?,"A child is eligible for free legal aid till the age of majority i.e. 18 years. This is provided in Section 12 (c) of the Legal Services Authorities Act, 1987. So, any child can apply for free legal aid till he turns 18 years old. Even on attaining the age of majority, the child can continue to get free legal aid, if she/ he falls within the other criteria enlisted in Section 12 of the Legal Services Authorities Act, 1987."
faq,Can you help me with: 20. Can a child being prosecuted for a criminal offence be provided free legal aid??,A child alleged to be in conflict with law is entitled to free legal aid.
faq,Can you help me with: 36. Can a wealthy businessman who is in custody in a case of cheating be given free legal aid??,"A person who is facing criminal trial and is in police/ judicial custody is entitled to get free legal aid irrespective of his financial status or social standing. There is no bar under Section 12 of the Legal Services Authorities Act, 1987 to provide Free Legal Aid to a wealthy businessman if he happens to be a prisoner."
faq,Help me know about: 43.	Who is a Legal Aid Defence Counsel?,Legal Aid Defence Counsels are appointed by the District Legal Services Authority to provide legal representation in criminal matters within the district. They are attached to the Legal Aid Defence Counsel office and are dedicated only to provide legal aid services i.e. they cannot take up any private legal cases. They are neither Government pleaders or advocates nor public servants.
faq,Legal guidance needed: 11. Are there any Helpline Services provided by NALSA for urgent legal assistance?,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.
faq,What is Section 498A?,It protects women from cruelty by husband or relatives under Indian Penal Code.
faq,30.What is the income parameter for grant of legal aid to a person?,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit."
faq,What are the steps involved in 10. does one have to pay any charge/fee for acquiring or submitting an application form for free legal aid??,"No, there is absolutely no charge for getting or submitting an application form for free legal aid."
faq,Help me know about: 54.	Will the information given by a legal aid applicant be safe and privileged with the Legal Services Institutions?,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential."
faq,How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.
faq,Help me know about: 18. Till what age is a child eligible for free legal aid?,"A child is eligible for free legal aid till the age of majority i.e. 18 years. This is provided in Section 12 (c) of the Legal Services Authorities Act, 1987. So, any child can apply for free legal aid till he turns 18 years old. Even on attaining the age of majority, the child can continue to get free legal aid, if she/ he falls within the other criteria enlisted in Section 12 of the Legal Services Authorities Act, 1987."
faq,Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act."
faq,"I want to understand 25. is a person who is in custody, including custody in a protective home or in a psychiatric hospital or psychiatric nursing home eligible for free legal aid?","Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same."
faq,Please explain: 60.	When can legal aid be denied or withdrawn?,"Legal Aid can be denied at the initial stage before the application for legal aid is accepted. It can also be withdrawn at the later stage after the application has been accepted and legal aid has been provided. Legal aid can be denied or withdrawn in the following circumstances:Legal aid can be denied if a person is found ineligible under Section 12 of the Legal Services Authorities Act, 1987;Legal aid can be withdrawn if the aided person who applied under the income category is found to possess sufficient means;Legal aid can be withdrawn where the aided person obtained legal services by misrepresentation or fraud;Legal aid can be withdrawn where the aided person does not cooperate with the Legal Services Institution or with the Legal Services Advocate;Legal aid can be withdrawn where the person engages a legal practitioner other than the one assigned by the Legal Services Institution;Legal aid can be withdrawn in the event of death of the aided person except in the case of civil proceedings where the right or liability survives;Legal aid can be withdrawn where the application for legal service or the matter in question is found to be an abuse of the process of law or of legal services.Regulation 6 of the National Legal Services Authority (Free And Competent Legal Services) Regulations, 2010 provides that the applicant shall be informed that if free legal services have been obtained by furnishing incorrect or false information or in a fraudulent manner, the legal services shall be stopped forthwith and that the expenses incurred by the Legal Services Institutions shall be recoverable from him or her."
faq,Can you help me with: 44.	Who are para-legal volunteers??,Paralegal volunteers (PLVs) are volunteers selected from diverse social and educational backgrounds through the process of NALSA’s Para-Legal Volunteers Scheme. They are expected to act as intermediaries in bridging the gap between the common people and the Legal Services Institutions reaching out to the people at their doorsteps.
faq,What should I do for: 70.	what type of disputes in public utility services the permanent lok adalats for public utility services would decide??,"The Permanent Lok Adalats for Public Utility Services would decide disputes relating to deficiency in service, claims for damages/ compensation, recovery of money, etc., pertaining to all Public Utility services."
faq,Help me know about: 85.	What role does NALSA and other Legal Services Institutions play in promoting legal aid awareness in schools and colleges?,"They organize programs in educational institutions to enhance legal awareness among students, ensuring a foundation of legal knowledge from an early age. It conducts awareness programs such as legal literacy workshops and seminars in schools and colleges. It engages students in interactive sessions using Acts and presentations. It also distributes informative brochures and pamphlets about child rights. Various legal service clinics are also established in schools and colleges."
faq,How do I go about 22. is a person with mental illness eligible for grant of free legal aid??,"Yes. Section 12 (d) of the Legal Services Authorities Act, 1987, provides for the same."
faq,What is the procedure for: 4. what are the district legal services authorities and the taluka legal services committees? what are their roles and responsibilities??,"Section 9 of the Legal Services Authorities Act, 1987, provides for the constitution of the District Legal Services Authorities (DLSAs) by the State Government, in consultation with the Chief Justice of the High Court, for every District in the State, to exercise the powers and perform the functions conferred on, or assigned to, the DLSA under Sections 10 and 11 of the Legal Services Authorities Act, 1987. The DLSA is headed by the District & Sessions Judge of the respective district as the Chairman, DLSA.Similarly, Section 11A of the Legal Services Authorities Act, 1987, provides for the constitution of the Taluka Legal Services Committees (TLSC) by the State Authority for each Taluka or mandal or for a group of Talukas or mandals, to exercise the powers and perform the functions conferred on, or assigned to them, under Section 11B of the Legal Services Authorities Act, 1987. The TLSC is headed by the senior Civil Judge operating within its jurisdiction as the ex-officio Chairman.As per Sections 10 and 11 of the Legal Services Authorities Act, 1987, it shall be the duty of every DLSA to perform such of the functions of the State Authority in the District as may be delegated to it from time to time by the State Authority. The DLSA may perform all or any of the following functions, namely:Coordinate the activities of the TLSC and other legal services in the District;Organize Lok Adalats within the District;Perform such other functions as the State Authority may fix by regulations.The DLSAs are expected to act in coordination with other agencies and be subject to directions given by the NALSA, for promoting the cause of legal services to the poor.As per Section 11B of the Legal Services Authorities Act, 1987, it shall be the duty of every TLSC to:Co-ordinate the activities of legal services in the Taluka;Organize Lok Adalats within the Taluka; andPerform such other functions as the DLSA may assign to it."
faq,Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act."
faq,What should I do for: 11. are there any helpline services provided by nalsa for urgent legal assistance??,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.
faq,What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws."
faq,What is the procedure for: 82.	what is mediation??,"Mediation is a non-binding negotiation process in which a neutral third person facilitates the parties to the dispute in arriving at a mutually acceptable settlement. The process is informal where the outcome of the dispute is controlled by the parties themselves. The entire process is confidential. Civil cases, matrimonial and family disputes are best suited for mediation."
faq,Help me know about: 58.	Can one appeal if the application for free legal services is rejected?,"According to Regulation 7(5) of the National Legal Services Authority (Free and Competent Legal Services) Regulations 2010, the application for legal services will be scrutinized by the Member-Secretary or the Secretary and if any individual is aggrieved by the decision made upon their application, he/she has an option to appeal to the Executive Chairman or Chairman of the Legal Services Institution and the decision resulting from the appeal would be a final one."
faq,What should I do for: 57.	what is the procedure after an application for legal aid is allowed??,"Once the application is allowed, the applicant is given intimation about the assignment of a lawyer. A letter of appointment is also issued to the assigned lawyer with a copy to the applicant. The lawyer would thereafter contact the applicant at the earliest. The applicant may also contact the lawyer in the meanwhile."
faq,Can you help me with: 30.What is the income parameter for grant of legal aid to a person??,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit."
faq,What is the procedure for: 54.	will the information given by a legal aid applicant be safe and privileged with the legal services institutions??,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential."
faq,How do I go about 55.	can one get free legal aid lawyer at any stage of case? can one get free legal aid at the time of appeal even though a person had a personal lawyer before the appellate stage??,"Yes, one can apply to get free legal aid at any stage of the case as long as one is eligible to obtain free legal services as per Section 12 of the Legal Services Authorities Act, 1987. Even if a person had a personal lawyer before and now requires a legal aid lawyer only at the stage of appeal (and is eligible under Section 12 of the Legal Services Authorities Act, 1987), the person can make an application to avail the same. Even if a person has engaged a private lawyer, he/ she can also get second opinion from Panel Lawyers."
faq,How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.
faq,I want to understand 43.	who is a legal aid defence counsel?,Legal Aid Defence Counsels are appointed by the District Legal Services Authority to provide legal representation in criminal matters within the district. They are attached to the Legal Aid Defence Counsel office and are dedicated only to provide legal aid services i.e. they cannot take up any private legal cases. They are neither Government pleaders or advocates nor public servants.
